index,date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
0,2010-01-01T00:00:00,TPCP,GHCND:CE000434730,746,0,0,Sri Lanka,TPCP
1,2010-01-01T00:00:00,TPCP,GHCND:CEM00043418,474,0,0,Sri Lanka,TPCP
2,2010-01-01T00:00:00,TPCP,GHCND:CEM00043424,51,0,0,Sri Lanka,TPCP
3,2010-01-01T00:00:00,TPCP,GHCND:CEM00043441,856,0,0,Sri Lanka,TPCP
4,2010-01-01T00:00:00,TPCP,GHCND:CEM00043466,204,0,0,Sri Lanka,TPCP
5,2010-02-01T00:00:00,TPCP,GHCND:CE000434730,212,0,0,Sri Lanka,TPCP
6,2010-02-01T00:00:00,TPCP,GHCND:CEM00043418,38,0,0,Sri Lanka,TPCP
7,2010-02-01T00:00:00,TPCP,GHCND:CEM00043424,10,0,0,Sri Lanka,TPCP
8,2010-02-01T00:00:00,TPCP,GHCND:CEM00043441,15,0,0,Sri Lanka,TPCP
9,2010-02-01T00:00:00,TPCP,GHCND:CEM00043466,54,0,0,Sri Lanka,TPCP
10,2010-03-01T00:00:00,TPCP,GHCND:CE000434730,979,0,0,Sri Lanka,TPCP
11,2010-03-01T00:00:00,TPCP,GHCND:CEM00043418,26,0,0,Sri Lanka,TPCP
12,2010-03-01T00:00:00,TPCP,GHCND:CEM00043424,43,0,0,Sri Lanka,TPCP
13,2010-03-01T00:00:00,TPCP,GHCND:CEM00043441,1657,0,0,Sri Lanka,TPCP
14,2010-03-01T00:00:00,TPCP,GHCND:CEM00043466,304,0,0,Sri Lanka,TPCP
15,2010-04-01T00:00:00,TPCP,GHCND:CE000434730,1481,0,0,Sri Lanka,TPCP
16,2010-04-01T00:00:00,TPCP,GHCND:CEM00043418,20,0,0,Sri Lanka,TPCP
17,2010-04-01T00:00:00,TPCP,GHCND:CEM00043424,1317,0,0,Sri Lanka,TPCP
18,2010-04-01T00:00:00,TPCP,GHCND:CEM00043441,2597,0,0,Sri Lanka,TPCP
19,2010-04-01T00:00:00,TPCP,GHCND:CEM00043466,4413,0,0,Sri Lanka,TPCP
20,2010-05-01T00:00:00,TPCP,GHCND:CE000434730,2616,0,0,Sri Lanka,TPCP
21,2010-05-01T00:00:00,TPCP,GHCND:CEM00043418,307,0,0,Sri Lanka,TPCP
22,2010-05-01T00:00:00,TPCP,GHCND:CEM00043424,654,0,0,Sri Lanka,TPCP
23,2010-05-01T00:00:00,TPCP,GHCND:CEM00043441,1399,0,0,Sri Lanka,TPCP
24,2010-05-01T00:00:00,TPCP,GHCND:CEM00043466,7874,0,0,Sri Lanka,TPCP
25,2010-06-01T00:00:00,TPCP,GHCND:CE000434730,3131,0,0,Sri Lanka,TPCP
26,2010-06-01T00:00:00,TPCP,GHCND:CEM00043418,193,0,0,Sri Lanka,TPCP
27,2010-06-01T00:00:00,TPCP,GHCND:CEM00043424,117,0,0,Sri Lanka,TPCP
28,2010-06-01T00:00:00,TPCP,GHCND:CEM00043441,1438,0,0,Sri Lanka,TPCP
29,2010-06-01T00:00:00,TPCP,GHCND:CEM00043466,1840,0,0,Sri Lanka,TPCP
30,2010-07-01T00:00:00,TPCP,GHCND:CE000434730,2008,0,0,Sri Lanka,TPCP
31,2010-07-01T00:00:00,TPCP,GHCND:CEM00043418,92,0,0,Sri Lanka,TPCP
32,2010-07-01T00:00:00,TPCP,GHCND:CEM00043424,351,0,0,Sri Lanka,TPCP
33,2010-07-01T00:00:00,TPCP,GHCND:CEM00043441,1128,0,0,Sri Lanka,TPCP
34,2010-07-01T00:00:00,TPCP,GHCND:CEM00043466,1167,0,0,Sri Lanka,TPCP
35,2010-08-01T00:00:00,TPCP,GHCND:CE000434730,1766,0,0,Sri Lanka,TPCP
36,2010-08-01T00:00:00,TPCP,GHCND:CEM00043418,960,0,0,Sri Lanka,TPCP
37,2010-08-01T00:00:00,TPCP,GHCND:CEM00043424,526,0,0,Sri Lanka,TPCP
38,2010-08-01T00:00:00,TPCP,GHCND:CEM00043441,1201,0,0,Sri Lanka,TPCP
39,2010-08-01T00:00:00,TPCP,GHCND:CEM00043466,148,0,0,Sri Lanka,TPCP
40,2010-09-01T00:00:00,TPCP,GHCND:CE000434730,1593,0,0,Sri Lanka,TPCP
41,2010-09-01T00:00:00,TPCP,GHCND:CEM00043418,1962,0,0,Sri Lanka,TPCP
42,2010-09-01T00:00:00,TPCP,GHCND:CEM00043424,2471,0,0,Sri Lanka,TPCP
43,2010-09-01T00:00:00,TPCP,GHCND:CEM00043441,1717,0,0,Sri Lanka,TPCP
44,2010-09-01T00:00:00,TPCP,GHCND:CEM00043466,2714,0,0,Sri Lanka,TPCP
45,2010-10-01T00:00:00,TPCP,GHCND:CE000434730,2137,0,0,Sri Lanka,TPCP
46,2010-10-01T00:00:00,TPCP,GHCND:CEM00043418,595,0,0,Sri Lanka,TPCP
47,2010-10-01T00:00:00,TPCP,GHCND:CEM00043424,915,0,0,Sri Lanka,TPCP
48,2010-10-01T00:00:00,TPCP,GHCND:CEM00043441,3141,0,0,Sri Lanka,TPCP
49,2010-10-01T00:00:00,TPCP,GHCND:CEM00043466,1553,0,0,Sri Lanka,TPCP
50,2010-11-01T00:00:00,TPCP,GHCND:CE000434730,2706,0,0,Sri Lanka,TPCP
51,2010-11-01T00:00:00,TPCP,GHCND:CEM00043418,2433,0,0,Sri Lanka,TPCP
52,2010-11-01T00:00:00,TPCP,GHCND:CEM00043424,3286,0,0,Sri Lanka,TPCP
53,2010-11-01T00:00:00,TPCP,GHCND:CEM00043441,5484,0,0,Sri Lanka,TPCP
54,2010-11-01T00:00:00,TPCP,GHCND:CEM00043466,9708,0,0,Sri Lanka,TPCP
55,2010-12-01T00:00:00,TPCP,GHCND:CE000434730,2855,0,0,Sri Lanka,TPCP
56,2010-12-01T00:00:00,TPCP,GHCND:CEM00043418,6652,0,0,Sri Lanka,TPCP
57,2010-12-01T00:00:00,TPCP,GHCND:CEM00043424,3546,0,0,Sri Lanka,TPCP
58,2010-12-01T00:00:00,TPCP,GHCND:CEM00043441,3207,0,0,Sri Lanka,TPCP
59,2010-12-01T00:00:00,TPCP,GHCND:CEM00043466,2992,0,0,Sri Lanka,TPCP
60,2011-01-01T00:00:00,TPCP,GHCND:CE000434730,3137,0,0,Sri Lanka,TPCP
61,2011-01-01T00:00:00,TPCP,GHCND:CEM00043418,5747,0,0,Sri Lanka,TPCP
62,2011-01-01T00:00:00,TPCP,GHCND:CEM00043424,773,0,0,Sri Lanka,TPCP
63,2011-01-01T00:00:00,TPCP,GHCND:CEM00043441,1630,0,0,Sri Lanka,TPCP
64,2011-01-01T00:00:00,TPCP,GHCND:CEM00043466,303,0,0,Sri Lanka,TPCP
65,2011-02-01T00:00:00,TPCP,GHCND:CE000434730,2440,0,0,Sri Lanka,TPCP
66,2011-02-01T00:00:00,TPCP,GHCND:CEM00043418,4362,0,0,Sri Lanka,TPCP
67,2011-02-01T00:00:00,TPCP,GHCND:CEM00043424,955,0,0,Sri Lanka,TPCP
68,2011-02-01T00:00:00,TPCP,GHCND:CEM00043441,1736,0,0,Sri Lanka,TPCP
69,2011-02-01T00:00:00,TPCP,GHCND:CEM00043466,757,0,0,Sri Lanka,TPCP
70,2011-03-01T00:00:00,TPCP,GHCND:CE000434730,703,0,0,Sri Lanka,TPCP
71,2011-03-01T00:00:00,TPCP,GHCND:CEM00043418,218,0,0,Sri Lanka,TPCP
72,2011-03-01T00:00:00,TPCP,GHCND:CEM00043424,203,0,0,Sri Lanka,TPCP
73,2011-03-01T00:00:00,TPCP,GHCND:CEM00043441,793,0,0,Sri Lanka,TPCP
74,2011-03-01T00:00:00,TPCP,GHCND:CEM00043466,1331,0,0,Sri Lanka,TPCP
75,2011-04-01T00:00:00,TPCP,GHCND:CE000434730,1767,0,0,Sri Lanka,TPCP
76,2011-04-01T00:00:00,TPCP,GHCND:CEM00043418,1831,0,0,Sri Lanka,TPCP
77,2011-04-01T00:00:00,TPCP,GHCND:CEM00043424,1594,0,0,Sri Lanka,TPCP
78,2011-04-01T00:00:00,TPCP,GHCND:CEM00043441,6350,0,0,Sri Lanka,TPCP
79,2011-04-01T00:00:00,TPCP,GHCND:CEM00043466,3529,0,0,Sri Lanka,TPCP
80,2011-05-01T00:00:00,TPCP,GHCND:CE000434730,531,0,0,Sri Lanka,TPCP
